url	Title	Price	City	State
https://northmiss.craigslist.org/cto/d/97-buick-lesabre-custom/6483369328.html	97 Buick LeSabre custom	$600		
https://northmiss.craigslist.org/cto/d/02-impala/6483360728.html	02 impala	$1000		
https://northmiss.craigslist.org/cto/d/02-impala/6483359902.html	02 impala	$1000		
https://northmiss.craigslist.org/cto/d/1982-porsche-928-8/6483324598.html	1982 porsche 928 v/8	$3500	 hollysprings ms	
https://northmiss.craigslist.org/cto/d/1982-porsche-928-8/6483322818.html	1982 porsche 928 v/8	$3500	 hollysprings ms	
https://northmiss.craigslist.org/cto/d/1999-ford-expedition/6472172871.html	1999 Ford Expedition	$2800	 Potts Camp	
https://northmiss.craigslist.org/cto/d/2001-ford-ranger-6-extended/6460258567.html	2001 Ford Ranger V/6 Extended cab......for sale	$190		
https://northmiss.craigslist.org/ctd/d/2017-chevy-chevrolet-malibu/6483288813.html	2017 Chevy Chevrolet Malibu LS 1 5L CARFAX One Owner Fuel Efficient	$14750	 Call 662 200-5006	
https://northmiss.craigslist.org/cto/d/1999-lexus-gs400-mint/6483271775.html	1999 LEXUS GS400   (MINT)	$5900	 Batesville MS	
https://northmiss.craigslist.org/cto/d/2004-honda-accord-one-owner/6483248213.html	2004 Honda Accord ONE Owner	$3500	 Grand Junction	Tn
https://northmiss.craigslist.org/ctd/d/2017-dodge-challenger-t-hemi/6483276326.html	2017 Dodge Challenger R T HEMI V8 5 7L CARFAX One Owner Coupe	$24750	 Call 662 200-5006	
https://northmiss.craigslist.org/cto/d/2001-i30-infinity/6471226685.html	2001 i30 INFINITY	$1999	 pontotoc ms	
https://northmiss.craigslist.org/cto/d/2009-kia-optima-140k-miles/6471225631.html	2009 KIA OPTIMA  140K MILES  NICE !	$3399	 pontotoc ms	
https://northmiss.craigslist.org/cto/d/2000-supercharged-buick-regal/6471224752.html	2000 supercharged Buick Regal GS	$2699	 pontotoc ms	
https://northmiss.craigslist.org/cto/d/2008-gmc-sierra/6483265787.html	2008 GMC Sierra	$12500	 Corinth MS	
https://northmiss.craigslist.org/cto/d/2006-jeep-4x4-wrangler-6/6479620681.html	2006 JEEP 4x4 WRANGLER 6 speed 4 cyl 84K MILES	$12600	 pontotoc ms	
https://northmiss.craigslist.org/ctd/d/2017-chevy-chevrolet-camaro/6483263961.html	2017 Chevy Chevrolet Camaro V6 3 6L CARFAX One Owner Coupe Sunroof	$22750	 Call 662 200-5006	
https://northmiss.craigslist.org/ctd/d/2011-ford-super-duty-250/6483261782.html	2011 Ford Super Duty F-250 Lariat Crew Cab 4WD	$34000		
